# Status_Effects_Data.txt
#
# File contains information on "display" status effects which are shown to the user
# as well as "internal" status effects, which are used to represent components of display status effects
# and are used to actually modify the properties of the monsters/players they affect.
#
# If a non-zero magnitude is supplied to the Combat.addStatus method, it overrides any zero 
# value declared here. If the magnitude declared here is 0, it probably indicates the magnitude is intended 
# to be supplied to (and overridden by) the calling method.  If the magnitude is negative, it indicates that 
# the absolute value of the number provided should be multiplied by the provided magnitude from the upper layer.
#
# The IMMUNE tag is applied when the status is an internal debuff.  The IMMUNE tag is not implemented as of this writing.
# There are three settings for this tag:
#   None (implied when no tag is present) -- all monsters can be affected
#   Boss -- only extremely powerful monsters ignore this effect completely
#   Strong -- somewhat powerful monsters (and bosses) ignore this effect completely
#
# The CATEGORY tag will assign category to the ability to indicate things such as
# whether an ability is considered a buff or debuff or a spellsword enchantment etc.
#
# The RECURRING tag uses either True or False to determine if this Internal property needs to be reapplied 
# during the upkeep phase of each turn.
#
# Any other confusing tags are likely an artifact of an older implementation strategy for status effect parsing and 
# interpretation that is no longer in use.  Tags that are currently in use or that will eventually be used are:
#
# NAME, TYPE, RECURRING, IMMUNE, IMAGE, ELEMENT, INTERNAL, MAGNITUDE, CATEGORY
# Of those, only IMMUNE has not yet been in use.


# Internal Effects -- Must be listed before Display Effects
	
#[NAME: AI_attack_nearby]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Strong]

#[NAME: AI_flee]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Boss]
  
  [IMMUNE: None]

[NAME: Spell_failure_chance]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: Boss]  
	
[NAME: Stun_internal]
  [TYPE: Internal]
  [RECURRING: False]
	
[NAME: Stunning_recovery_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Target_throat_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Tiger_style]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Trap_evade_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Trap_evade_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: Boss]

[NAME: Vile_poison_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Weapon_damage_bonus]
  [TYPE: Internal]
  [RECURRING: False]


# Display Effects -- Tier 1 Spells

[NAME: Arcane Ward]
  [TYPE: Display]
  [IMAGE: tier1_spells/arcane-ward.png]
  [ELEMENT: Arcane]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Magic_resist_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Mystic Shield]
  [TYPE: Display]
  [IMAGE: tier1_spells/mystic-shield.png]
  [ELEMENT: Arcane]
  [INTERNAL: HP_buffer]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]	
  
[NAME: Stone Guard]
  [TYPE: Display]
  [IMAGE: tier1_spells/stone-guard.png]
  [ELEMENT: None]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Poison_tolerance_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Stone]

[NAME: Chill]
  [TYPE: Display]
  [IMAGE: tier1_spells/chill.png]
  [ELEMENT: Cold]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]

#[NAME: Suggest Laziness]
#  [TYPE: Display]
#  [IMAGE: tier1_spells/suggest-laziness.png]
#  [ELEMENT: None]
#  [INTERNAL: AI_attack_nearby]
#    [MAGNITUDE: 0]
#  [CATEGORY: Debuff]
    
[NAME: Stutter]
  [TYPE: Display]
  [IMAGE: tier1_spells/stutter.png]
  [ELEMENT: None]
  [INTERNAL: Spell_failure_chance]
    [MAGNITUDE: 10]
  [INTERNAL: Spellpower_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]

[NAME: Cloud Vision]
  [TYPE: Display]
  [IMAGE: tier1_spells/cloud-vision.png]
  [ELEMENT: Shadow]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 0]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]
	
[NAME: Haunt]
  [TYPE: Display]
  [IMAGE: tier1_spells/haunt.png]
  [ELEMENT: Shadow]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
	
[NAME: Zone of Silence]
  [TYPE: Display]
  [IMAGE: tier1_spells/zone-of-silence.png]
  [ELEMENT: None]
  [INTERNAL: Sneak_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 10]
	
[NAME: Blurry]
  [TYPE: Display]
  [IMAGE: tier1_spells/blurry.png]
  [ELEMENT: None]
  [INTERNAL: Sneak_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Weapon Enhance Striking]
  [TYPE: Display]
  [IMAGE: tier1_spells/weapon-enhance.png]
  [ELEMENT: None]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Armor_penetration_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Weapon Enchantment]
	
[NAME: Weapon Enhance Punishing]
  [TYPE: Display]
  [IMAGE: tier1_spells/weapon-enhance.png]
  [ELEMENT: None]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Weapon Enchantment]
  [CATEGORY: Buff]
   
[NAME: Weapon Enhance Precision]
  [TYPE: Display]
  [IMAGE: tier1_spells/weapon-enhance.png]
  [ELEMENT: None]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Weapon Enchantment]
  
[NAME: Flaming Weapon]
  [TYPE: Display]
  [IMAGE: tier1_spells/flaming-weapon.png]
  [ELEMENT: Fire]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Weapon Enchantment]
	
# Display Effects -- Tier 2 Spells
	
[NAME: Identification]
  [TYPE: Display]
  [IMAGE: tier2_spells/identification.png]
  [ELEMENT: Arcane]
  [INTERNAL: Spellpower_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Intuition_bonus]
    [MAGNITUDE: 15]
  [CATEGORY: Buff]
	
[NAME: Hovering Shield]
  [TYPE: Display]
  [IMAGE: tier2_spells/hovering-shield.png]
  [ELEMENT: Arcane]
  [INTERNAL: Ranged_dodge_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Fright]
  [TYPE: Display]
  [IMAGE: tier2_spells/fright.png]
  [ELEMENT: Shadow]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff]

[NAME: Infection]
  [TYPE: Display]
  [IMAGE: tier2_spells/infection.png]
  [ELEMENT: Poison]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
  [INTERNAL: Poison_tolerance_penalty]
    [MAGNITUDE: 8]
  
[NAME: Elemental Boon]
  [TYPE: Display]
  [IMAGE: tier2_spells/elemental-boon.png]
  [ELEMENT: Fire]
  [INTERNAL: Elemental_resistance_fire]
    [MAGNITUDE: 0]
  [INTERNAL: Elemental_resistance_cold]
    [MAGNITUDE: 0]
  [INTERNAL: Elemental_resistance_electric]
    [MAGNITUDE: 0]
  [CATEGORY: Buff] 
	
#[NAME: Suggest Cowardice]
#  [TYPE: Display]
#  [IMAGE: tier2_spells/suggest-cowardice.png]
#  [ELEMENT: None]
#  [INTERNAL: AI_flee]
#    [MAGNITUDE: 0]
#  [CATEGORY: Debuff]
	
[NAME: Smoke Screen]
  [TYPE: Display]
  [IMAGE: tier2_spells/smoke-screen.png]
  [ELEMENT: Fire]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 35] 
	
[NAME: Shrink]
  [TYPE: Display]
  [IMAGE: tier2_spells/shrink.png]
  [ELEMENT: Divine]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 18]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 18]
  [CATEGORY: Debuff]

[NAME: Frost Weapon]
  [TYPE: Display]
  [IMAGE: tier2_spells/frost-weapon.png]
  [ELEMENT: Cold]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: On_hit_frost_weapon]
	[MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Weapon Enchantment]
  
[NAME: Frost Weapon Chill]
  [TYPE: Display]
  [IMAGE: tier2_spells/frost-weapon.png]
  [ELEMENT: Cold]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 6]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [CATEGORY: Debuff]
  
# Display Effects -- Fighter Skills

[NAME: Brace]
  [TYPE: Display]
  [IMAGE: skills/fighter_skills/brace.png]
  [ELEMENT: None]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 5]
  [CATEGORY: Buff]
	
#[NAME: Wound Leg]
#  [TYPE: Display]
#  [IMAGE: skills/fighter_skills/wound-leg.png]
#  [ELEMENT: None]
#  [INTERNAL: Dodge_penalty]
#    [MAGNITUDE: 15]
#  [INTERNAL: Movement_speed_penalty]
#    [MAGNITUDE: 2]
#  [CATEGORY: Debuff]
#  Image not finished
	
[NAME: Wound Arm]
  [TYPE: Display]
  [IMAGE: skills/fighter_skills/wound-arm.png]
  [ELEMENT: None]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 6]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 6]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff]
	
[NAME: Combo Attack]
  [TYPE: Display]
  [IMAGE: skills/fighter_skills/combo-attack.png]
  [ELEMENT: None]
  [INTERNAL: Combo_attack_internal]
    [MAGNITUDE: 0]
	
# Display Effects -- Ranger Skills

[NAME: Tunnel Vision]
  [TYPE: Display]
  [IMAGE: skills/ranger_skills/tunnel-vision.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Might_bonus]
	[MAGNITUDE: 3]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [CATEGORY: Buff]
	
[NAME: Sticky Trap]
  [TYPE: Display]
  [IMAGE: skills/ranger_skills/sticky-trap.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [CATEGORY: Debuff]
	
[NAME: Ranger's Aim]
  [TYPE: Display]
  [IMAGE: skills/ranger_skills/rangers-aim.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 2]
  [CATEGORY: Buff]
	
[NAME: Defensive Slash]
  [TYPE: Display]
  [IMAGE: skills/ranger_skills/defensive-slash.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
	
[NAME: Tar Trap]
  [TYPE: Display]
  [IMAGE: skills/ranger_skills/tar-trap.png]
  [ELEMENT: Fire]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 20]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]

# Display Effects -- Wizard Skills

[NAME: Magic Guard]
  [TYPE: Display]
  [IMAGE: skills/wizard_skills/magic-guard.png]
  [ELEMENT: Arcane]
  [INTERNAL: Elemental_resistance_arcane]
    [MAGNITUDE: 10]
  [INTERNAL: Magic_resist_bonus]
    [MAGNITUDE: 3]
  [CATEGORY: Buff]

[NAME: Gather]
  [TYPE: Display]
  [IMAGE: skills/wizard_skills/gather.png]
  [ELEMENT: Arcane]
  [INTERNAL: Spellpower_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Elemental_offense_arcane]
	[MAGNITUDE: 10]
  [INTERNAL: Elemental_offense_divine]
	[MAGNITUDE: 15]
  [CATEGORY: Buff]
	
[NAME: Spell Sight]
  [TYPE: Display]
  [IMAGE: skills/wizard_skills/spell-sight.png]
  [ELEMENT: Arcane]
  [REMOVED_ON: Ranged Attack]
  [REMOVED_ON: Spell Cast]
  [INTERNAL: Spellpower_bonus]
    [MAGNITUDE: 3]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 5]
  [CATEGORY: Buff]

[NAME: Runic Dust]
  [TYPE: Display]
  [IMAGE: skills/wizard_skills/runic-dust.png]
  [ELEMENT: Arcane]
  [INTERNAL: Magic_resist_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]

# Display Effects -- Thief Skills

[NAME: Stealth]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/stealth.png]
  [ELEMENT: None]
  [INTERNAL: Set_movement_AP_cost]
    [MAGNITUDE: 0]
  [INTERNAL: Avoidance]
    [MAGNITUDE: 15]
  [INTERNAL: Hidden]
    [MAGNITUDE: 0]
  [CATEGORY: Stealth]
	
[NAME: Chain Grasp]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/chain-grasp.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [INTERNAL: Spell_failure_chance]
    [MAGNITUDE: 7]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]
	
[NAME: Agile Position]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/agile-position.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 12]
  [CATEGORY: Buff]
	
[NAME: Feint]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/feint.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff]
	
[NAME: Far-Sighted Focus]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/far-sighted-focus.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 2]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Ranged_dodge_bonus]
    [MAGNITUDE: 7]

[NAME: Shock Factor Attack Penalty]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/shock-factor.png]
  [ELEMENT: None]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 15]
  [CATEGORY: Debuff]

[NAME: Shock Factor Spell Failure]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/shock-factor.png]
  [ELEMENT: None]
  [INTERNAL: Spell_failure_chance]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]

# Display Effects -- Weapon Master Skills

#[NAME: Shield Deflection]
#  [TYPE: Display]
#  [IMAGE: skills/weaponmaster_skills/shield-deflection.png]
#  [ELEMENT: None]
#  [INTERNAL: Ignore_ranged_attacks]
#    [MAGNITUDE: 20]
#  [REMOVED_ON: Shield Unequipped]
#  [CATEGORY: Buff]
  
#[NAME: True Friend]
#  [TYPE: Display]
#  [IMAGE: skills/weaponmaster_skills/true-friend.png]
#  [ELEMENT: None]
#  [INTERNAL: DR_bonus]
#    [MAGNITUDE: 5]
	
#[NAME: True Friend Protection]
#  [TYPE: Display]
#  [IMAGE: skills/weaponmaster_skills/true-friend.png]
#  [ELEMENT: None]
#  [INTERNAL: Redirect_melee_attacks]
#    [MAGNITUDE: 90]

# Display Effects -- Dragoon Skills

[NAME: Spear-Pierce]
  [TYPE: Display]
  [IMAGE: skills/dragoon_skills/spear-pierce.png]
  [ELEMENT: None]
  [INTERNAL: Bleeding]
    [MAGNITUDE: 10]
  [CATEGORY: Bleeding]
	
[NAME: Restful Jump Attack]
  [TYPE: Display]
  [IMAGE: skills/dragoon_skills/jump-attack.png]
  [ELEMENT: None]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
	
# Display Effects -- Barbarian Skills

[NAME: Berserker Rage]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/berserker-rage.png]
  [ELEMENT: None]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 50]
  [CATEGORY: Buff] 
	
[NAME: Improved Berserker Rage]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/berserker-rage.png]
  [ELEMENT: None]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 15]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 70]
  [CATEGORY: Buff]
 
[NAME: Blood of the Ancients]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/blood-of-the-ancients.png]
  [ELEMENT: None]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]
	
[NAME: Crush Armor]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/crush-armor.png]
  [ELEMENT: slashed-shield.png]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 15]
  [CATEGORY: Debuff] 
	
[NAME: Guzzle]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/guzzle.png]
  [ELEMENT: None]
  [INTERNAL: Potion_effect_bonus]
    [MAGNITUDE: 30]
  [CATEGORY: Buff]
	
# Display Effects -- Spellsword

[NAME: Martial Mode]
  [TYPE: Display]
  [IMAGE: skills/spellsword_skills/martial-mode.png]
  [ELEMENT: None]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: DR_bonus]
	[MAGNITUDE: 3]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 1]
  [CATEGORY: Buff] 
  
[NAME: Improved Martial Mode]
  [TYPE: Display]
  [IMAGE: skills/spellsword_skills/martial-mode.png]
  [ELEMENT: None]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 7]
  [INTERNAL: DR_bonus]
	[MAGNITUDE: 5]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 2]
  [CATEGORY: Buff]
  
[NAME: Rebound]
  [TYPE: Display]
  [IMAGE: skills/spellsword_skills/rebound.png]
  [ELEMENT: Arcane]
  [INTERNAL: Refund_mana_on_resist]
	[MAGNITUDE: 5]

# Display Effects -- Anarchist

[NAME: Trap Worry]
  [TYPE: Display]
  [IMAGE: skills/anarchist_skills/trap-worry.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 8]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 4]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 4]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 5]
  [INTERNAL: Trap_evade_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff] 
	
[NAME: Harmless Grin]
  [TYPE: Display]
  [IMAGE: skills/anarchist_skills/harmless-grin.png]
  [ELEMENT: None]
